ProgramType,NumberPhysicians,Revenue,MedefenseLimit,CyberLimit,MedefenseLimit_Cat,CyberLimit_Cat,BothCoverages,CYBExposure,CYBClaimCount,CYBClaimCost,MEDExposure,MEDClaimCount,MEDClaimCost
open,0,135000000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,16592123,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,13500000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,7460278,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,135388492,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,2796001000,0,10000000,0,18_10000k,0,1,0,0,0,0,0
open,0,20600000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,10985460,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,151000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,12131101,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,879000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,27000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,250000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,25000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,8900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,16875176,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,12597000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1709000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,83000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,76900762,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,59370904,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,110000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,21432679,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,100000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,2,1321780,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,12500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,136000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,95874681,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,32500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,850000,0,250000,0,06_250k,0,1,0,0,0,0,0
open,0,53372231,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,6531000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,135200000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,204000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,980000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,241300000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,8500000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,125589591,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,12000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,10000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,73200000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,60000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4148353,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,26000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,12200000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,750000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4500000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1300000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,19240000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,71600000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,3800000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,19539445,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,8000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,407107474,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1676274715,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,125000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,488200000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,2060000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1200000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,128757943,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,0,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,7000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,8925711,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,5362545,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,20636722,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,52000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,6500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,6000000,0,1000000,0,09_1000k,0,1,1,50000,0,0,0
open,0,52000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,0,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,40000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,3100000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,15510000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,33028594,0,1000000,0,09_1000k,0,2,0,0,0,0,0
open,0,26873600,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,2859089,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,138335277,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,11500000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,10000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,34014166,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,28000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4245000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,35000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,152285602,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,92000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,21049045,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,6000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4850000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3400189,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2559161,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,95000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3121155,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,473000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,4600000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,52960666,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,10000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3750000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,6500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1800000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,16500000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,887000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4813264,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,40000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,266000000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,514238,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,66000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,7259000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,7000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,16000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4322600,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,17700000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,2000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,75000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,32000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,4974388,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,65000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,439393,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,6000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,1,650000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,16000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,1125000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,107000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,260000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,5047446,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3200000,0,1000000,0,09_1000k,0,1,1,6407,0,0,0
open,0,92000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,100000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,2084545,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,12900000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,50000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,2000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,93000000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,1,720000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,30000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,400000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,18500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,180000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1500000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,14659849,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,98000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,90000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,146000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3300000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,52100000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,23000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,26000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,45100000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,160000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1443857,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,3000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,5000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,0,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,280819851,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3183841505,0,15000000,0,19_15000k,0,1,0,0,0,0,0
open,0,21436307,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,9000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,8000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,4200000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,14825339,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,36000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,850000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,85000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,17383000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,650000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,9510868,0,10000000,0,18_10000k,0,1,0,0,0,0,0
open,0,36990771,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,18000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,27000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,302477873,0,10000000,0,18_10000k,0,1,0,0,0,0,0
open,0,11000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,37955212,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,6886000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,350000,0,250000,0,06_250k,0,1,0,0,0,0,0
open,0,1678000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,6500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1400000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,120000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,1733845,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,15000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,1266314,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,9205000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1276512,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,1908176,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,16000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2700000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,15200000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,27359877,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,34300000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,45454000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,200000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,40000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,9500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,167000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,55000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,321000,0,750000,0,08_750k,0,1,0,0,0,0,0
open,0,3000000,0,1000000,0,09_1000k,0,1,1,25000,0,0,0
open,13,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,0,204540940,0,10000000,0,18_10000k,0,1,0,0,0,0,0
open,0,6000000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,8800000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,27972777,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,2000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,606062,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,55000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1635000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,98000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1739015,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3458000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,960000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2900000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,10078252,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,34532998,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,191000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,17000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,5370350,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,140000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3700000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,22500000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,6900000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,40000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4500000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,25660000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,5000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,8500000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,24000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,41000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,55000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,93500000,0,10000000,0,18_10000k,0,1,0,0,0,0,0
open,0,27605668,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,2,1397187,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,5499285,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,5400000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,1,1212465,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,2,900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,212000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,55000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,25641595,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,14000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2000000,0,500000,0,07_500k,0,1,0,0,0,0,0
open,0,3300000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,10000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,928005,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2995349,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,147000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,369415665,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,8688000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,5000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,21,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,0,6000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,17999834,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,1,550000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,9750000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,11754000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,2400000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,24500000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2950000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,3276675,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,1292617,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,14500000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,79000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,40100000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,2250000,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,900000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,25000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,210000000,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,0,415000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,250000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,105000000,0,3000000,0,12_3000k,0,1,0,0,0,0,0
open,0,32883909,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,125000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,4000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,22000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,3440000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,55200,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,12000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,45000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,20479535,0,2000000,0,10_2000k,0,1,0,0,0,0,0
open,0,8000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,15000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,58000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,340000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,135000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,15509696,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,7000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,70000000,0,1000000,0,09_1000k,0,1,0,0,0,0,0
open,0,400000,0,500000,0,07_500k,0,1,0,0,0,0,0
